iter	Passed	Remaining
624	1462	877
625	1463	874
626	1464	871
627	1466	868
628	1467	865
629	1469	862
630	1470	860
631	1472	857
632	1474	854
633	1476	852
634	1477	849
635	1479	846
636	1480	843
637	1482	840
638	1483	838
639	1484	835
640	1485	832
641	1487	829
642	1488	826
643	1489	823
644	1491	820
645	1492	817
646	1494	815
647	1495	812
648	1496	809
649	1497	806
650	1498	803
651	1500	800
652	1502	798
653	1504	795
654	1505	793
655	1507	790
656	1509	788
657	1511	785
658	1513	783
659	1515	780
660	1516	778
661	1518	775
662	1520	772
663	1521	769
664	1523	767
665	1525	764
666	1526	762
667	1528	759
668	1529	756
669	1531	754
670	1532	751
671	1534	748
672	1536	746
673	1537	743
674	1539	741
675	1540	738
676	1542	735
677	1544	733
678	1546	731
679	1549	728
680	1549	726
681	1551	723
682	1553	720
683	1555	718
684	1557	716
685	1559	713
686	1561	711
687	1563	708
688	1565	706
689	1567	704
690	1570	702
691	1572	700
692	1575	698
693	1577	695
694	1579	693
695	1582	691
696	1584	688
697	1587	686
698	1589	684
699	1592	682
700	1594	680
701	1596	677
702	1598	675
703	1601	673
704	1604	671
705	1606	669
706	1609	666
707	1611	664
708	1613	662
709	1616	660
710	1618	657
711	1621	655
712	1624	653
713	1626	651
714	1628	649
715	1631	647
716	1634	645
717	1638	643
718	1641	641
719	1644	639
720	1646	637
721	1649	635
722	1653	633
723	1655	631
724	1658	629
725	1661	627
726	1664	625
727	1668	623
728	1671	621
729	1674	619
730	1677	617
731	1679	614
732	1681	612
733	1684	610
734	1686	608
735	1689	605
736	1691	603
737	1693	601
738	1696	599
739	1698	596
740	1701	594
741	1705	592
742	1707	590
743	1711	588
744	1714	587
745	1718	585
746	1722	583
747	1725	581
748	1728	579
749	1731	577
750	1734	574
751	1736	572
752	1739	570
753	1742	568
754	1745	566
755	1748	564
756	1751	562
757	1754	560
758	1756	557
759	1759	555
760	1762	553
761	1765	551
762	1768	549
763	1770	546
764	1773	544
765	1775	542
766	1779	540
767	1781	538
768	1784	536
769	1787	533
770	1788	531
771	1790	528
772	1792	526
773	1795	524
774	1798	522
775	1801	520
776	1804	517
777	1806	515
778	1809	513
779	1811	510
780	1814	508
781	1817	506
782	1819	504
783	1821	501
784	1823	499
785	1826	497
786	1828	495
787	1831	492
788	1833	490
789	1836	488
790	1838	485
791	1840	483
792	1844	481
793	1847	479
794	1850	477
795	1852	474
796	1855	472
797	1858	470
798	1862	468
799	1864	466
800	1867	463
801	1868	461
802	1871	459
803	1874	457
804	1877	454
805	1880	452
806	1883	450
807	1885	448
808	1888	445
809	1891	443
810	1894	441
811	1897	439
812	1899	436
813	1901	434
814	1903	432
815	1906	429
816	1909	427
817	1912	425
818	1914	423
819	1917	420
820	1920	418
821	1922	416
822	1925	414
823	1928	411
824	1931	409
825	1933	407
826	1935	404
827	1938	402
828	1941	400
829	1944	398
830	1946	395
831	1950	393
832	1953	391
833	1956	389
834	1959	387
835	1962	384
836	1964	382
837	1966	380
838	1968	377
839	1971	375
840	1974	373
841	1976	370
842	1978	368
843	1981	366
844	1983	363
845	1986	361
846	1990	359
847	1991	356
848	1992	354
849	1997	352
850	1998	349
851	2001	347
852	2004	345
853	2006	343
854	2009	340
855	2012	338
856	2014	336
857	2017	333
858	2021	331
859	2023	329
860	2026	327
861	2029	324
862	2032	322
863	2035	320
864	2038	318
865	2041	315
866	2044	313
867	2047	311
868	2051	309
869	2054	306
870	2057	304
871	2060	302
872	2062	300
873	2066	297
874	2069	295
875	2072	293
876	2075	291
877	2078	288
878	2081	286
879	2084	284
880	2087	281
881	2090	279
882	2092	277
883	2095	274
884	2099	272
885	2102	270
886	2105	268
887	2107	265
888	2110	263
889	2112	261
890	2114	258
891	2117	256
892	2119	253
893	2122	251
894	2124	249
895	2126	246
896	2129	244
897	2131	242
898	2134	239
899	2137	237
900	2140	235
901	2141	232
902	2142	230
903	2145	227
904	2148	225
905	2151	223
906	2154	220
907	2157	218
908	2159	216
909	2162	213
910	2165	211
911	2167	209
912	2171	206
913	2174	204
914	2178	202
915	2180	199
916	2183	197
917	2185	195
918	2189	192
919	2192	190
920	2196	188
921	2198	185
922	2201	183
923	2204	181
924	2206	178
925	2210	176
926	2213	174
927	2215	171
928	2217	169
929	2219	167
930	2221	164
931	2224	162
932	2227	159
933	2230	157
934	2233	155
935	2236	152
936	2238	150
937	2241	148
938	2244	145
939	2248	143
940	2250	141
941	2253	138
942	2255	136
943	2258	134
944	2261	131
945	2265	129
946	2266	126
947	2269	124
948	2272	122
949	2274	119
950	2276	117
951	2279	114
952	2281	112
953	2285	110
954	2288	107
955	2291	105
956	2293	103
957	2296	100
958	2299	98
959	2301	95
960	2305	93
961	2308	91
962	2310	88
963	2312	86
964	2315	83
965	2317	81
966	2318	79
967	2321	76
968	2323	74
969	2327	71
970	2329	69
971	2332	67
972	2334	64
973	2337	62
974	2340	60
975	2343	57
976	2345	55
977	2348	52
978	2352	50
979	2354	48
980	2356	45
981	2359	43
982	2361	40
983	2364	38
984	2367	36
985	2370	33
986	2373	31
987	2376	28
988	2379	26
989	2381	24
990	2384	21
991	2387	19
992	2390	16
993	2392	14
994	2395	12
995	2398	9
996	2401	7
997	2404	4
998	2407	2
999	2410	0
